Id,Dataset,Classifier,Measure,Type,Mean,Std
6,ecoli,GBM,F1-score,Standard,0.6152777777777777,0.23047980819999453
7,ecoli,GBM,F1-score,Normalized,0.9047240618101546,0.18930817078498055
6,ecoli,GBM,MCC,Standard,0.6097445392336011,0.24051057639633608
7,ecoli,GBM,MCC,Normalized,0.9269610007358351,0.11872216144038845
6,ecoli,GBM,Precision,Standard,0.7773333333333333,0.2804016959847267
7,ecoli,GBM,Precision,Normalized,0.937852281089036,0.18961290863102218
6,ecoli,GBM,Accuracy,Standard,0.9331749427043544,0.038758937063071756
7,ecoli,GBM,Accuracy,Normalized,0.9681723693892568,0.03111360622140635
6,ecoli,CART,G-mean,Standard,0.7031916463646175,0.23045654288919215
7,ecoli,CART,G-mean,Normalized,0.8012647167034586,0.2318755902432026
6,ecoli,CART,Kappa,Standard,0.5112658382987294,0.2552126728897378
7,ecoli,CART,Kappa,Normalized,0.8990139808682853,0.15291945763892084
6,ecoli,CART,Bal. acc.,Standard,0.7627634408602151,0.13770549806386453
7,ecoli,CART,Bal. acc.,Normalized,0.8469885945548196,0.14194356590444251
6,ecoli,CART,Recall,Standard,0.5766666666666667,0.27097560365792667
7,ecoli,CART,Recall,Normalized,0.5783333333333333,0.2674865867180522
6,ecoli,CART,F1-score,Standard,0.5582178932178933,0.23662637812742018
7,ecoli,CART,F1-score,Normalized,0.8713980868285504,0.22473175889914962
6,ecoli,CART,MCC,Standard,0.5224096896567739,0.2581042709334247
7,ecoli,CART,MCC,Normalized,0.891383370125092,0.14163782194864596
6,ecoli,CART,Precision,Standard,0.5817142857142856,0.26374760318520635
7,ecoli,CART,Precision,Normalized,0.893289183222958,0.2235052782516446
6,ecoli,CART,Accuracy,Standard,0.9105421441303794,0.04689614024701767
7,ecoli,CART,Accuracy,Normalized,0.9484289919058131,0.04263603684093163
6,ecoli,RF,G-mean,Standard,0.6346963081417263,0.2442698607893412
7,ecoli,RF,G-mean,Normalized,0.7372617733627667,0.258705836602785
6,ecoli,RF,Kappa,Standard,0.5146036582384893,0.2610090611096657
7,ecoli,RF,Kappa,Normalized,0.8933682855040472,0.16559864277019218
6,ecoli,RF,Bal. acc.,Standard,0.7257096774193548,0.12800831693951964
7,ecoli,RF,Bal. acc.,Normalized,0.8139551140544519,0.14457044640699115
6,ecoli,RF,Recall,Standard,0.47166666666666673,0.2530974779276422
7,ecoli,RF,Recall,Normalized,0.47416666666666674,0.2485220200393608
6,ecoli,RF,F1-score,Standard,0.5486428571428571,0.2493131985829357
7,ecoli,RF,F1-score,Normalized,0.850103016924209,0.26597263788263237
6,ecoli,RF,MCC,Standard,0.5430001095436452,0.26424291600689215
7,ecoli,RF,MCC,Normalized,0.8943294701986754,0.15670767124132762
6,ecoli,RF,Precision,Standard,0.7398333333333333,0.32372738016217706
7,ecoli,RF,Precision,Normalized,0.8917356512141279,0.2736635729806662
6,ecoli,RF,Accuracy,Standard,0.9269528902470079,0.03686833057725631
