Dataset,Classifier,Accuracy,Balanced accuracy,Kappa,G-mean,F1-score,Precision,Recall,MCC,Accuracy norm,Balanced accuracy norm,Kappa norm,G-mean norm,F1-score norm,Precision norm,Recall norm,MCC norm
balance-scale,LR,0.921630026945,0.5,0.0,0.0316227766017,0.0,0.0,0.0,0.0,0.956720970537,0.5,0.500034662045,0.0251993067591,0.02,0.02,0.02,0.500034662045
new-thyroid,kNN,0.970699134199,0.921217320261,0.877088610186,0.910643934538,0.892912698413,0.977,0.8475,0.888547264037,0.991668209877,0.918055555556,0.987290123457,0.959686728395,0.984634259259,0.996601851852,0.8475,0.988481481481
new-thyroid,SVM,0.986465367965,0.963594771242,0.940347363337,0.955223295203,0.947023809524,0.979,0.93,0.944819313016,0.996364197531,0.961666666667,0.990719135802,0.976311728395,0.985157407407,0.988800925926,0.930277777778,0.991274691358
new-thyroid,NB,0.974277056277,0.984656862745,0.916980451595,0.984360867965,0.932357142857,0.883166666667,1.0,0.923618242995,0.993458333333,0.983611111111,0.994825617284,0.998402777778,0.995026234568,0.983407407407,1.0,0.995311728395
new-thyroid,GBM,0.968668831169,0.92885620915,0.871767578621,0.916712258433,0.888380952381,0.940666666667,0.87,0.882113860627,0.990669753086,0.925833333333,0.984061728395,0.960557098765,0.977771604938,0.982736111111,0.870277777778,0.985086419753
new-thyroid,CART,0.96130952381,0.927156862745,0.850041280429,0.915244471923,0.871214285714,0.901333333333,0.876666666667,0.861097416279,0.987739197531,0.924166666667,0.981674382716,0.959976851852,0.975430555556,0.976958333333,0.876944444444,0.982432098765
new-thyroid,RF,0.982768398268,0.950972222222,0.926333681111,0.945125045843,0.935682539683,0.991,0.904166666667,0.93352250299,0.995939814815,0.949166666667,0.993787037037,0.977952160494,0.992677469136,0.998787037037,0.904166666667,0.994655864198
new-thyroid,LR,0.980489177489,0.951233660131,0.920463452757,0.945199701303,0.931174603175,0.9795,0.9075,0.927825670127,0.995104938272,0.948611111111,0.992830246914,0.977086419753,0.991459876543,0.997231481481,0.9075,0.993765432099
glass,kNN,0.914841991342,0.496684210526,-0.0075025466893,0.0315160974141,0.0,0.0,0.0,-0.00777197230342,0.94652284264,0.498888888889,0.476858432036,0.0613338973491,0.0555555555556,0.0555555555556,0.0555555555556,0.489582628314
glass,SVM,0.920930735931,0.5,0.0,0.0316227766017,0.0,0.0,0.0,0.0,0.953045685279,0.5,0.500282007896,0.0617597292724,0.0555555555556,0.0555555555556,0.0555555555556,0.500282007896
glass,NB,0.453958874459,0.596197368421,0.050041557702,0.540147890381,0.180828304393,0.103637832755,0.765,0.106584761962,0.45,0.594444444444,0.589709531867,0.644063733785,0.593824027073,0.573059785674,0.769444444444,0.631325437112
glass,GBM,0.922287878788,0.587618421053,0.192304235262,0.25931090723,0.210333333333,0.265,0.19,0.201340513988,0.952112239143,0.584444444444,0.615005640158,0.312461928934,0.339385222786,0.344221658206,0.228333333333,0.631920473773
glass,CART,0.885980519481,0.604513157895,0.187890324477,0.332885140409,0.238571428571,0.249333333333,0.27,0.197223752106,0.914359842076,0.605,0.573330513254,0.387600112803,0.413699943598,0.416252115059,0.303333333333,0.627735476593
glass,RF,0.918406926407,0.532868421053,0.0790336971657,0.12479264659,0.09,0.12,0.075,0.0829231305416,0.949362662155,0.533333333333,0.537171460801,0.165338409475,0.174940778342,0.177470389171,0.123333333333,0.550817822899
glass,LR,0.912954545455,0.495671052632,-0.0097776507973,0.0314836419561,0.0,0.0,0.0,-0.0102797327655,0.944500846024,0.498888888889,0.469658770446,0.0612069937958,0.0555555555556,0.0555555555556,0.0555555555556,0.486119571348
ionosphere,kNN,0.849050887021,0.798782177967,0.642256937648,0.773610804979,0.739453268962,0.944020923521,0.619935897436,0.675262107241,0.944152230971,0.795748031496,0.931283989501,0.894049343832,0.897229746282,0.980678215223,0.619527559055,0.937768678915
ionosphere,SVM,0.939887955182,0.923306222763,0.864855819131,0.919651794494,0.90911115121,0.967098124098,0.864102564103,0.871164227676,0.988114785652,0.920866141732,0.986926334208,0.980916535433,0.9848,0.989021172353,0.862283464567,0.987363779528
ionosphere,NB,0.886826330532,0.853582142495,0.739768098971,0.842122390134,0.81905765173,0.941705433455,0.734871794872,0.756552468254,0.966636920385,0.850078740157,0.961617847769,0.943552405949,0.951137007874,0.980099737533,0.733543307087,0.963444269466
ionosphere,GBM,0.934177404295,0.917971647917,0.852317801909,0.914150892248,0.900969308791,0.954954795205,0.860192307692,0.858787282851,0.985632545932,0.915511811024,0.984313560805,0.978160279965,0.981970953631,0.984718110236,0.85842519685,0.984524584427
ionosphere,CART,0.887049953315,0.875324946792,0.752230687661,0.871077922096,0.838370595605,0.855688769564,0.833653846154,0.758262809163,0.965791076115,0.872125984252,0.963994050744,0.959403674541,0.958956780402,0.947744531934,0.832125984252,0.962538932633
ionosphere,RF,0.929065826331,0.914004129928,0.841721906812,0.910223450678,0.894561847803,0.942304098679,0.860320512821,0.848240932682,0.984625371829,0.911417322835,0.983321084864,0.977412423447,0.981000524934,0.980418197725,0.85874015748,0.98356920385
ionosphere,LR,0.884495331466,0.855044593088,0.736776141615,0.845192460136,0.819263059426,0.919317182817,0.749871794872,0.750321956899,0.965184251969,0.85188976378,0.960430096238,0.945311636045,0.950095538058,0.971796325459,0.74811023622,0.960980227472
